Project URL,SHA Detected,Module Path,Fully-Qualified Test Name (packageName.ClassName.methodName),Category,Status,PR Link,Notes
https://github.com/Activiti/Activiti,b11f757a48600e53aaf3fcb7a3ba1ece6c463cb4,activiti-engine,org.activiti.engine.test.bpmn.async.AsyncTaskTest.testAsyncEndEvent,UD,MovedOrRenamed,,https://github.com/Activiti/Activiti/commit/c04f27c338d87c72fbebfea9b72ec76e93cccded
https://github.com/Adyen/adyen-java-api-library,6fb5cd049b57a22d2ec4465d204c15f1c90dd325,.,com.adyen.CheckoutTest.TestAchDetailsSerialization,ID,Accepted,https://github.com/Adyen/adyen-java-api-library/pull/681, A previous PR (https://github.com/Adyen/adyen-java-api-library/pull/654) was opened but not accepted because of adding a library
https://github.com/alibaba/innodb-java-reader,24a95d8005d480d460c3004fad89cfa295b9cbb4,innodb-java-reader,com.alibaba.innodb.java.reader.sk.SimpleSkTableReaderTest.testQueryAllIteratorMysql56,ID,Accepted,https://github.com/alibaba/innodb-java-reader/pull/14,
https://github.com/alibaba/wasp,b2593d8e4b31ca6da0cd2f3e18356338d9b6dace,.,com.alibaba.wasp.client.TestAdmin,ID,,,
https://github.com/Alluxio/alluxio,68fcda9dd2ca2181eb897e10ca02fa5bc3a3099f,core/server/worker,alluxio.worker.block.allocator.GreedyAllocatorTest.allocateBlock,ID,,,
https://github.com/apache/commons-collections,371313a2e4d1da5e0776419ce94bb8b644158a20,.,org.apache.commons.collections4.bag.CollectionBagTest.testCollectionToArray2,ID,Accepted,https://github.com/apache/commons-collections/pull/341,https://issues.apache.org/jira/browse/COLLECTIONS-804
https://github.com/apache/cxf,69925893ed0e8a8fdfe1164b4e097a5cf5524027,core,org.apache.cxf.attachment.AttachmentUtilTest.bigIntAsAttachmentMaxSize,OD,,,
https://github.com/apache/dubbo,737f7a7ea67832d7f17517326fb2491d0a086dd7,dubbo-filter/dubbo-filter-cache,org.apache.dubbo.cache.support.jcache.JCacheFactoryTest.testJCacheGetExpired,OD-Vic,,,
https://github.com/apache/flink,23c9b5ac50d04d28a34a87c78eb2d3331c06b74b,flink-core,org.apache.flink.api.java.typeutils.runtime.kryo.KryoGenericTypeSerializerTest.testJavaSet,ID,Rejected,https://github.com/apache/flink/pull/11181,
https://github.com/apache/hadoop,a585a73c3e02ac62350c136643a5e7f6095a3dbb,hadoop-common-project/hadoop-kms,org.apache.hadoop.crypto.key.kms.server.TestKMS.testStartStopHttpPseudo,OD,,,
https://github.com/apache/hbase,801fc05e9c082ab12c7c1207087d3667ab162d1a,hbase-server,org.apache.hadoop.hbase.io.TestMetricsIO.testMetrics,NIO,,,
https://github.com/apache/hive,90fa9064f2c6907fbe6237cb46d5937eebd8ea31,standalone-metastore/metastore-server,org.apache.hadoop.hive.common.TestStatsSetupConst.testStatColumnEntriesCompat,ID,InspiredAFix,https://github.com/apache/hive/pull/1024,
https://github.com/apache/incubator-shardingsphere,038232e9b2f7fb22ccf50c04b74fb900732b345d,sharding-core/sharding-core-common,org.apache.shardingsphere.core.metadata.datasource.ShardingSphereDataSourceMetaDataTest.assertGetAllInstanceDataSourceNamesForShardingRule,ID,Accepted,https://github.com/apache/incubator-shardingsphere/pull/3164,
https://github.com/apache/nifi,2bd752d868a8f3e36113b078bb576cf054e945e8,nifi-nar-bundles/nifi-framework-bundle/nifi-framework/nifi-framework-authorization-providers,org.apache.nifi.authorization.CompositeUserGroupProviderTest.testMultipleProvidersWithCollaboratingUserGroupProvider,ID,Accepted,https://github.com/apache/nifi/pull/5524,https://github.com/apache/nifi/commit/8171ecb2c1f9d2ea56f330dafd1df6e100f15413
https://github.com/apache/nifi-registry,f1e5aef7bef7d4f5ec89b2347e6a6c7e78aa589c,nifi-registry-core/nifi-registry-web-api,org.apache.nifi.registry.security.authorization.ResourceAuthorizationFilterSpec.secure requests to an unguarded resource are allowed without an authorization check,UD,RepoArchived,,
https://github.com/apache/openwebbeans,424af4bb7285b806d3e3efe5020cd3e440e0a4ff,webbeans-impl,org.apache.webbeans.test.annotation.binding.BeanCacheKeyUnitTest.testEquals2Annotations,ID,,,https://github.com/TestingResearchIllinois/idoft/issues/561
https://github.com/apache/ozone,eb7136df7b53c77e239e82ff9d9d8063774fc717,hadoop-hdds/server-scm,org.apache.hadoop.hdds.scm.pipeline.TestPipelineManagerImpl.testPipelineCreationFailedMetric,OD,,,
https://github.com/apache/shardingsphere-elasticjob,b022898ef1b8c984e17efb2a422ee45f6b13e46e,elastic-job-lite-core,io.elasticjob.lite.event.rdb.JobEventRdbSearchTest.assertFindJobExecutionEventsWithTime,NOD;OD-Vic,,,
https://github.com/biojava/biojava,e99364ac14294adeb9385b7b93c602c2d9b66bb6,biojava-core,org.biojava.nbio.core.search.io.blast.BlastXMLParserTest.testCreateObjects,NOD,,,https://github.com/TestingResearchIllinois/flaky-test-dataset/issues/115
https://github.com/castle/castle-java,1f42ccdbd85c095e307c8604eb7426733dbb8863,.,io.castle.client.model.CastleContextTest.minimalContextAsJson,ID,Accepted,https://github.com/castle/castle-java/pull/107,
https://github.com/danfickle/openhtmltopdf,4a0612fab7b3a55e3e11d485233b063006d03b0f,openhtmltopdf-examples,com.openhtmltopdf.freemarker.FreeMarkerGeneratorTest.testFreeMarkerGenerator,OD,,,
https://github.com/eclipse-ee4j/tyrus,d86e0cb0a4f26ba89daf8668137c156e57fea565,tests/e2e/non-deployable,org.glassfish.tyrus.test.e2e.non_deployable.ExtendedExtensionTest.extendedExtensionTest,NIO,Accepted,https://github.com/eclipse-ee4j/tyrus/pull/725,
https://github.com/FasterXML/jackson-databind,23e2af98684a0350de74d3009c2cb0a313a1c6d0,.,com.fasterxml.jackson.databind.convert.TestBeanConversions.testConversionIssue288,ID,Accepted,https://github.com/FasterXML/jackson-databind/pull/2884,
https://github.com/fhoeben/hsac-fitnesse-fixtures,a64c18d9c4bac8271275c7b089d40be20f0604b5,.,nl.hsac.fitnesse.fixture.slim.FileFixtureTest.testDelete,OD-Brit,Accepted,https://github.com/fhoeben/hsac-fitnesse-fixtures/pull/293,
https://github.com/flowable/flowable-engine,399ab58c5c29b2437c56f5418d8610bc3fb3381d,modules/flowable-cmmn-engine,org.flowable.cmmn.test.el.VariableFunctionDelegatesTest.testVariableEquals,ID,Accepted,https://github.com/flowable/flowable-engine/pull/2204,